timestamp	boot_id	sampling_resolution_bits	sampling_sample_time_cycles	sampling_oversampling	sampling_n_measurements	sampling_amplification	pt100_1_series_resistor_ohms	pt100_2_series_resistor_ohms	raw_pt100_1_p20	raw_pt100_1_median	raw_pt100_1_p80	raw_pt100_2_p20	raw_pt100_2_median	raw_pt100_2_p80	pt100_1_r_pt	pt100_1_temperature	pt100_2_r_pt	pt100_2_temperature
2025-12-10T13:20:28.790Z	4221434046	12	640	256	10	16	3183.6	3203.3	34457	34459	34463	34256	34258	34263	108.17825	21.242216	108.1913	21.276102
2025-12-10T13:20:28.850Z	4221434046	12	640	256	10	16	3183.6	3203.3	34453	34459	34466	34256	34257	34261	108.17825	21.242216	108.188034	21.267622
2025-12-10T13:20:28.906Z	4221434046	12	640	256	10	16	3183.6	3203.3	34454	34459	34462	34253	34255	34261	108.17825	21.242216	108.1815	21.250658
2025-12-10T13:20:28.962Z	4221434046	12	640	256	10	16	3183.6	3203.3	34453	34457	34463	34254	34255	34259	108.17176	21.225353	108.1815	21.250658
2025-12-10T13:20:29.020Z	4221434046	12	640	256	10	16	3183.6	3203.3	34463	34467	34468	34259	34260	34266	108.20422	21.309671	108.19783	21.293066
2025-12-10T13:20:29.078Z	4221434046	12	640	256	10	16	3183.6	3203.3	34452	34456	34464	34250	34254	34257	108.16852	21.21693	108.178246	21.242197
2025-12-10T13:20:29.135Z	4221434046	12	640	256	10	16	3183.6	3203.3	34453	34455	34457	34248	34256	34265	108.165276	21.20851	108.18477	21.25914
2025-12-10T13:20:29.192Z	4221434046	12	640	256	10	16	3183.6	3203.3	34453	34459	34466	34252	34261	34269	108.17825	21.242216	108.20109	21.301527
2025-12-10T13:20:29.249Z	4221434046	12	640	256	10	16	3183.6	3203.3	34457	34463	34465	34254	34261	34264	108.19124	21.275944	108.20109	21.301527
2025-12-10T13:20:29.306Z	4221434046	12	640	256	10	16	3183.6	3203.3	34454	34461	34466	34253	34259	34266	108.184746	21.25908	108.194565	21.284584
2025-12-10T13:20:29.365Z	4221434046	12	640	256	10	16	3183.6	3203.3	34451	34459	34461	34255	34259	34266	108.17825	21.242216	108.194565	21.284584
2025-12-10T13:20:29.481Z	927069087	12	640	256	30	16	3183.6	3203.3	34432	34435	34441	34235	34240	34245	108.10036	21.039888	108.13254	21.123476
2025-12-10T13:20:29.542Z	927069087	12	640	256	30	16	3183.6	3203.3	34430	34435	34441	34231	34235	34243	108.10036	21.039888	108.11622	21.081087
2025-12-10T13:20:29.601Z	927069087	12	640	256	30	16	3183.6	3203.3	34428	34434	34439	34233	34238	34242	108.097115	21.031467	108.12601	21.106512
